#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Listeria monocytogenes EGD-e","EGD-e",20017,SAMEA3138329 ,PRJNA276,"Terrabacteria group","Firmicutes",GCA_000196035.1 ,2.94453,38,chromosome:NC_003210.1/AL591824.1,-,1,3055,2867,2001/11/08,2016/08/28,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/035/GCF_000196035.1_ASM19603v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/035/GCA_000196035.1_ASM19603v1
"Listeria monocytogenes serotype 4b str. F2365","4b F2365",20017,SAMN02603980 ,PRJNA85,"Terrabacteria group","Firmicutes",GCA_000008285.1 ,2.90519,38,chromosome:NC_002973.6/AE017262.2,-,1,2943,2819,2001/08/28,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/285/GCF_000008285.1_ASM828v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/285/GCA_000008285.1_ASM828v1
"Listeria monocytogenes HCC23","HCC23",20017,SAMN02603154 ,PRJNA29409,"Terrabacteria group","Firmicutes",GCA_000021185.1 ,2.97621,38.2,chromosome:NC_011660.1/CP001175.1,-,1,3080,2941,2008/12/12,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/185/GCF_000021185.1_ASM2118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/185/GCA_000021185.1_ASM2118v1
"Listeria monocytogenes 08-5923","08-5923",20017,SAMN02603721 ,PRJNA36363,"Terrabacteria group","Firmicutes",GCA_000022925.1 ,2.99905,38,chromosome:NC_013768.1/CP001604.1,-,1,3076,2969,2010/01/20,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/925/GCF_000022925.1_ASM2292v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/925/GCA_000022925.1_ASM2292v1
"Listeria monocytogenes serotype 4b str. CLIP 80459","Clip80459",20017,SAMEA2272134 ,PRJEA32207,"Terrabacteria group","Firmicutes",GCA_000026705.1 ,2.91269,38.1,chromosome:NC_012488.1/FM242711.1,-,1,2935,2823,2009/03/30,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/705/GCF_000026705.1_ASM2670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/705/GCA_000026705.1_ASM2670v1
"Listeria monocytogenes 08-5578","08-5578",20017,SAMN02603776 ,PRJNA36361,"Terrabacteria group","Firmicutes",GCA_000093125.2 ,3.10968,37.9653,chromosome:NC_013766.2/CP001602.2; plasmid pLM5578:NC_013767.1/CP001603.1,-,2,3203,3092,2010/01/20,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/125/GCF_000093125.2_ASM9312v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/093/125/GCA_000093125.2_ASM9312v2
"Listeria monocytogenes FSL R2-561","FSL R2-561",20017,SAMN00013319 ,PRJNA17317,"Terrabacteria group","Firmicutes",GCA_000168575.2 ,2.9738,38,chromosome:NC_017546.1/CP002003.1,-,1,3044,2897,2011/09/13,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/575/GCF_000168575.2_ASM16857v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/575/GCA_000168575.2_ASM16857v2
"Listeria monocytogenes Finland 1998","Finland 1988",20017,SAMN00012880 ,PRJNA17319,"Terrabacteria group","Firmicutes",GCA_000168595.2 ,2.87443,38.1,chromosome:NC_017547.1/CP002004.1,-,1,2905,2765,2011/09/14,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/595/GCF_000168595.2_ASM16859v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/595/GCA_000168595.2_ASM16859v2
"Listeria monocytogenes J0161","J0161",20017,SAMN00769971 ,PRJNA17493,"Terrabacteria group","Firmicutes",GCA_000168635.2 ,3.00046,37.9,chromosome:NC_017545.1/CP002001.1,-,1,3077,2978,2011/09/07,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/635/GCF_000168635.2_ASM16863v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/635/GCA_000168635.2_ASM16863v2
"Listeria monocytogenes 10403S","10403S",20017,SAMN02641382 ,PRJNA17495,"Terrabacteria group","Firmicutes",GCA_000168695.2 ,2.90311,38,chromosome:NC_017544.1/CP002002.1,-,1,2957,2839,2011/09/07,2018/04/04,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/695/GCF_000168695.2_ASM16869v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/695/GCA_000168695.2_ASM16869v2
"Listeria monocytogenes J1-220","J1-220",20017,SAMN01816124 ,PRJNA60535,"Terrabacteria group","Firmicutes",GCA_000195395.5 ,3.03227,37.9,chromosome:NC_021829.3/CP006046.3,-,1,3104,2981,2013/07/16,2017/11/01,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/395/GCF_000195395.4_ASM19539v5,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/395/GCA_000195395.5_ASM19539v5
"Listeria monocytogenes J1816","J1816",20017,SAMN01813900 ,PRJNA60537,"Terrabacteria group","Firmicutes",GCA_000195435.4 ,2.94746,38,chromosome:NC_021830.2/CP006047.2,-,1,3001,2765,2013/07/16,2017/10/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/435/GCF_000195435.3_ASM19543v4,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/435/GCA_000195435.4_ASM19543v4
"Listeria monocytogenes SLCC2755","SLCC2755",20017,SAMEA2271969 ,PRJEA50379,"Terrabacteria group","Firmicutes",GCA_000197755.2 ,3.02393,38.0599,chromosome Chromosome:NC_018587.1/FR733646.1; plasmid pLM1-2bUG1:NC_014495.1/FR667692.1,-,2,3045,2912,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/197/755/GCF_000197755.2_ASM19775v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/197/755/GCA_000197755.2_ASM19775v2
"Listeria monocytogenes L99","L99",20017,SAMEA2272406 ,PRJEA31327,"Terrabacteria group","Firmicutes",GCA_000209755.1 ,2.9792,38.2,chromosome:NC_017529.1/FM211688.1,-,1,3082,2963,2010/09/22,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/755/GCF_000209755.1_ASM20975v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/209/755/GCA_000209755.1_ASM20975v1
"Listeria monocytogenes SLCC2372","SLCC2372",20017,SAMEA2272627 ,PRJEA50377,"Terrabacteria group","Firmicutes",GCA_000210815.2 ,3.02291,37.9586,chromosome NC_018588.1:NC_018588.1/FR733648.1; plasmid pLM1-2cUG1:NC_018889.1/FR667691.1,-,2,3107,2988,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/815/GCF_000210815.2_ASM21081v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/210/815/GCA_000210815.2_ASM21081v2
"Listeria monocytogenes M7","M7",20017,SAMN02604342 ,PRJNA66625,"Terrabacteria group","Firmicutes",GCA_000218305.1 ,2.97616,38.2,chromosome:NC_017537.1/CP002816.1,-,1,3081,2952,2011/06/14,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/305/GCF_000218305.1_ASM21830v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/218/305/GCA_000218305.1_ASM21830v1
"Listeria monocytogenes 07PF0776","07PF0776",20017,SAMN02604190 ,PRJNA78811,"Terrabacteria group","Firmicutes",GCA_000258905.1 ,2.90156,38,chromosome:NC_017728.1/CP003414.1,-,1,2942,2765,2012/04/17,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/905/GCF_000258905.1_ASM25890v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/905/GCA_000258905.1_ASM25890v1
"Listeria monocytogenes SLCC2540","SLCC2540",20017,SAMEA2272785 ,PRJEA51731,"Terrabacteria group","Firmicutes",GCA_000306905.1 ,2.97696,37.9,chromosome:NC_018586.1/FR733645.1,-,1,3004,2884,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/905/GCF_000306905.1_ASM30690v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/905/GCA_000306905.1_ASM30690v1
"Listeria monocytogenes SLCC7179","SLCC7179",20017,SAMEA2272571 ,PRJEA51733,"Terrabacteria group","Firmicutes",GCA_000306985.1 ,2.88223,38,chromosome:NC_018593.1/FR733650.1,-,1,2947,2819,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/985/GCF_000306985.1_ASM30698v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/985/GCA_000306985.1_ASM30698v1
"Listeria monocytogenes SLCC2479","SLCC2479",20017,SAMEA2272506 ,PRJEA51829,"Terrabacteria group","Firmicutes",GCA_000307005.1 ,2.97217,38,chromosome:NC_018589.1/FR733649.1,-,1,3048,2932,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/005/GCF_000307005.1_ASM30700v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/005/GCA_000307005.1_ASM30700v1
"Listeria monocytogenes ATCC 19117","ATCC 19117",20017,SAMEA2271997 ,PRJEA51859,"Terrabacteria group","Firmicutes",GCA_000307025.1 ,2.9518,38,chromosome:NC_018584.1/FR733643.1,-,1,2976,2855,2012/09/10,2017/02/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/307/025/GCF_000307025.1_ASM30702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/307/025/GCA_000307025.1_ASM30702v1
