## Lists can be generated from http://www.ncbi.nlm.nih.gov/Traces/wgs/
Prefix	DIV	BioProject	BioSample	Organism	# of Contigs	Total length of Contigs, b	Has annotated Contigs	# of Scaffolds	Scaffolds range	Has annotated Scaffolds	# of Proteins	Genome range	Update date	Create date	Status
AGKE01	BCT	PRJNA71999	SAMN02436345	STREPTOCOCCUS MUTANS TCI-146	143	1785489	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKF01	BCT	PRJNA71977	SAMN02436614	STREPTOCOCCUS MUTANS TCI-101	141	1816188	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKG01	BCT	PRJNA71979	SAMN02436443	STREPTOCOCCUS MUTANS TCI-109	146	1801671	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKH01	BCT	PRJNA71953	SAMN02436346	STREPTOCOCCUS MUTANS TCI-11	141	1799918	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKI01	BCT	PRJNA71981	SAMN02436598	STREPTOCOCCUS MUTANS TCI-110	135	1809107	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKJ01	BCT	PRJNA71983	SAMN02436347	STREPTOCOCCUS MUTANS TCI-116	60	1929685	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKK01	BCT	PRJNA71987	SAMN02436599	STREPTOCOCCUS MUTANS TCI-120	159	1776899	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKL01	BCT	PRJNA71989	SAMN02436600	STREPTOCOCCUS MUTANS TCI-123	109	1890503	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKM01	BCT	PRJNA71991	SAMN02436444	STREPTOCOCCUS MUTANS TCI-125	96	1861689	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKN01	BCT	PRJNA71993	SAMN02436445	STREPTOCOCCUS MUTANS TCI-138	131	1805076	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKO01	BCT	PRJNA71995	SAMN02436446	STREPTOCOCCUS MUTANS TCI-143	157	1776306	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKP01	BCT	PRJNA71997	SAMN02436447	STREPTOCOCCUS MUTANS TCI-145	99	1877792	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKQ01	BCT	PRJNA72001	SAMN02436531	STREPTOCOCCUS MUTANS TCI-148	120	1819408	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKR01	BCT	PRJNA72003	SAMN02436512	STREPTOCOCCUS MUTANS TCI-149	117	1822635	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKS01	BCT	PRJNA72005	SAMN02436601	STREPTOCOCCUS MUTANS TCI-151	121	1820468	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKT01	BCT	PRJNA72007	SAMN02436602	STREPTOCOCCUS MUTANS TCI-152	101	1851396	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKU01	BCT	PRJNA72009	SAMN02436348	STREPTOCOCCUS MUTANS TCI-153	55	1927654	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKV01	BCT	PRJNA72011	SAMN02436448	STREPTOCOCCUS MUTANS TCI-154	120	1818945	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKW01	BCT	PRJNA72017	SAMN02436603	STREPTOCOCCUS MUTANS TCI-162	130	1817871	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKX01	BCT	PRJNA72019	SAMN02436449	STREPTOCOCCUS MUTANS TCI-163	92	1897877	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKY01	BCT	PRJNA72021	SAMN02436604	STREPTOCOCCUS MUTANS TCI-164	115	1829200	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGKZ01	BCT	PRJNA72023	SAMN02436349	STREPTOCOCCUS MUTANS TCI-169	59	1927770	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLA01	BCT	PRJNA72025	SAMN02436605	STREPTOCOCCUS MUTANS TCI-170	86	1899487	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLB01	BCT	PRJNA72029	SAMN02436513	STREPTOCOCCUS MUTANS TCI-173	112	1872679	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLC01	BCT	PRJNA72033	SAMN02436514	STREPTOCOCCUS MUTANS TCI-176	128	1794749	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLD01	BCT	PRJNA72035	SAMN02436606	STREPTOCOCCUS MUTANS TCI-177	110	1882948	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLE01	BCT	PRJNA72037	SAMN02436350	STREPTOCOCCUS MUTANS TCI-179	126	1818201	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLF01	BCT	PRJNA72039	SAMN02436351	STREPTOCOCCUS MUTANS TCI-187	127	1765562	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLG01	BCT	PRJNA72041	SAMN02436352	STREPTOCOCCUS MUTANS TCI-191	120	1832015	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLH01	BCT	PRJNA72045	SAMN02436353	STREPTOCOCCUS MUTANS TCI-196	90	1898193	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLI01	BCT	PRJNA72049	SAMN02436450	STREPTOCOCCUS MUTANS TCI-201	146	1770853	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLJ01	BCT	PRJNA72051	SAMN02436515	STREPTOCOCCUS MUTANS TCI-202	115	1820309	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLK01	BCT	PRJNA72053	SAMN02436354	STREPTOCOCCUS MUTANS TCI-204	136	1847156	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLL01	BCT	PRJNA72055	SAMN02436451	STREPTOCOCCUS MUTANS TCI-210	135	1809350	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
AGLM01	BCT	PRJNA72057	SAMN02436452	STREPTOCOCCUS MUTANS TCI-212	194	1771432	no	0		no	0		2013-12-05 00:00:00	2011-10-06 00:00:00	1
